Município,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
TAIÓ,17337,17337,17412,17856,17959,18060,18161,18261,18302,18395,18486
TAMARANA,14548,14797,12458,12458,12458,12458,12458,12458,12458,12458,12647
TAMBOARA,5080,5120,4696,4696,4696,4696,4696,4696,4696,4696,4726
TANGARÁ,8668,8668,8653,8777,8767,8757,8748,8738,8691,8676,8662
TAPEJARA,16062,16205,14712,14712,14712,14712,14712,14712,14712,14712,14822
TAPIRA,5584,5539,5802,5802,5802,5802,5802,5802,5802,5802,5769
TEIXEIRA SOARES,12163,12367,10444,10444,10444,10444,10444,10444,10444,10444,10599
TELÊMACO BORBA,78135,78974,70535,70535,70535,70535,70535,70535,70535,70535,71176
TERRA BOA,16984,17094,15864,15864,15864,15864,15864,15864,15864,15864,15948
TERRA RICA,16652,16789,15331,15331,15331,15331,15331,15331,15331,15331,15437
TERRA ROXA,17439,17481,16795,16795,16795,16795,16795,16795,16795,16795,16829
TIBAGI,20436,20522,19414,19414,19414,19414,19414,19414,19414,19414,19482
TIGRINHOS,1748,1748,1739,1746,1733,1720,1707,1695,1646,1633,1619
TIJUCAS,31533,31533,32087,33847,34628,35402,36170,36931,37645,38407,39155
TIJUCAS DO SUL,16646,16868,14712,14712,14712,14712,14712,14712,14712,14712,14881
TIMBÉ DO SUL,5307,5307,5306,5387,5385,5382,5379,5377,5354,5348,5343
TIMBÓ,37344,37344,37894,39740,40515,41283,42045,42801,43484,44238,44977
TIMBÓ GRANDE,7219,7219,7268,7495,7563,7632,7699,7767,7812,7877,7941
TOLEDO,138572,140635,120934,120934,120934,120934,120934,120934,120934,120934,122502
TOMAZINA,8032,7918,8704,8704,8704,8704,8704,8704,8704,8704,8619
TRÊS BARRAS,18207,18207,18281,18740,18843,18945,19046,19146,19183,19275,19366
TRÊS BARRAS DO PARANÁ,12043,12040,11825,11825,11825,11825,11825,11825,11825,11825,11825
TREVISO,3557,3557,3585,3706,3746,3785,3824,3863,3891,3929,3966
TREZE DE MAIO,6889,6889,6901,7036,7052,7067,7082,7098,7070,7081,7093
TREZE TÍLIAS,6457,6457,6568,6925,7082,7237,7392,7545,7687,7840,7991
TROMBUDO CENTRAL,6612,6612,6668,6901,6979,7057,7135,7211,7284,7360,7434
TUBARÃO,97833,97833,98412,101284,102087,102883,103674,104457,104937,105686,106422
TUNÁPOLIS,4622,4622,4612,4660,4644,4628,4612,4597,4561,4543,4525
TUNAS DO PARANÁ,8509,8769,6460,6460,6460,6460,6460,6460,6460,6460,6656
TUNEIRAS DO OESTE,8599,8566,8671,8671,8671,8671,8671,8671,8671,8671,8647
TUPÃSSI,8128,8124,7996,7996,7996,7996,7996,7996,7996,7996,7994
TURVO,13340,25144,12001,12353,12452,12551,12649,12746,12806,26616,26618
UBIRATÃ,21119,21013,21479,21479,21479,21479,21479,21479,21479,21479,21402
UMUARAMA,110590,111557,101443,101443,101443,101443,101443,101443,101443,101443,102184
UNIÃO DA VITÓRIA,57111,57517,53059,53059,53059,53059,53059,53059,53059,53059,53372
UNIÃO DO OESTE,2874,2874,2838,2802,2751,2700,2650,2600,2517,2464,2412
UNIFLOR,2595,2605,2474,2474,2474,2474,2474,2474,2474,2474,2482
URAÍ,11356,11314,11441,11441,11441,11441,11441,11441,11441,11441,11411
URUBICI,10734,10734,10767,11012,11058,11102,11147,11191,11195,11235,11273
URUPEMA,2479,2479,2476,2507,2502,2497,2492,2487,2472,2465,2459
URUSSANGA,20291,20291,20356,20826,20915,21003,21090,21177,21190,21268,21344
VARGEÃO,3533,3533,3533,3590,3590,3590,3590,3590,3575,3573,3571
VARGEM,2776,2776,2746,2718,2674,2630,2586,2543,2522,2477,2432
VARGEM BONITA,4765,4765,4738,4752,4713,4674,4635,4597,4534,4492,4451
VENTANIA,11703,11892,10106,10106,10106,10106,10106,10106,10106,10106,10249
VERA CRUZ DO OESTE,8590,8521,8921,8921,8921,8921,8921,8921,8921,8921,8871
VERÊ,7342,7257,7814,7814,7814,7814,7814,7814,7814,7814,7751
VIDAL RAMOS,6287,6287,6284,6377,6372,6366,6361,6356,6347,6338,6329
VIDEIRA,47618,47618,48064,49768,50349,50926,51499,52066,52510,53065,53610
VIRMOND,4023,4023,3951,3951,3951,3951,3951,3951,3951,3951,3951
VITOR MEIRELES,5184,5184,5160,5190,5156,5123,5089,5056,5014,4979,4943
VITORINO,6817,6838,6531,6531,6531,6531,6531,6531,6531,6531,6548
WENCESLAU BRAZ,19444,19414,19278,19278,19278,19278,19278,19278,19278,19278,19259
WITMARSUM,3627,3627,3653,3769,3805,3841,3876,3912,3932,3965,3998
XAMBRÊ,5728,5679,5975,5975,5975,5975,5975,5975,5975,5975,5939
XANXERÊ,44643,44643,45140,46981,47679,48370,49057,49738,50309,50982,51642
XAVANTINA,4122,4122,4103,4124,4095,4067,4039,4012,3963,3933,3903
XAXIM,25933,25933,26145,27039,27336,27630,27921,28210,28424,28706,28983
ZORTÉA,3019,3019,3046,3153,3190,3227,3264,3300,3328,3363,3398
